keyid,village,intervention,date0,resurvey0,respondent0,homegarden0,va_exposed0,vaknowledgecountgen0,va_sourcegen0,ofsp_known0,ofspknowledgecountgen0,grew_ofsp0,ofsp_future0,goodrf_optionscountgen0,boughtofsp0,freeofsp0,planbuy0,gender0,widow0,education0,electricity0,house0,totalgoods0,sec0,evergrew0,ofspfreqad0,ofspfreqch0,date1,resurvey1,respondent1,ageofhh1,ageofspouse1,homegarden1,toilet1,vas1,va_exposed1,vaknowledgecountgen1,va_sourcegen1,ofsp_known1,ofspknowledgecountgen1,grew_ofsp1,ofsp_future1,price1,amount1,freechoice1,duration1,adult_ate1,child_ate1,adult_greens1,child_greens1,age_for_food1,goodrf_optionscountgen1,boughtofsp1,freeofsp1,planbuy1,nutreventcount1,ageventcount1,evergrew1,adultofspdiet1,childofspdiet1,ofspfreqad1,ofspfreqch1
105049,Nirnam,Ag + Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,0,1,0,,,0,0
105050,Nirnam,Ag + Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,0,0,0,,,0,0
105051,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,0 No,"3 Yes, has heard about vitamin A",2,3,"4 No, have neither seen nor heard",0,1 Yes,,1,,,,0 Male,0,5 High School,1 Full,Pucca,9,A2,1,,,28aug2018,0,Spouse of Head,75,70,1 Yes,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,1 Yes,1 Yes,,,,1 A few days only,3 Once or twice a week,3 Once or twice a week,1 Ate frequently,1 Ate frequently,6,1,0,0,0,2,6,1,.54545456,.54545456,1,1
105052,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,1 Full,Pucca,5,C1,0,,,28aug2018,0,Spouse of Head,40,45,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",3,0 No,2 Undecided,,,,,,,1 Ate frequently,1 Ate frequently,8,0,0,0,0,1,0,0,,,0,0
105053,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,1 Full,Pucca,4,C2,0,,,28aug2018,0,Head of Household,62,55,1 Yes,1 The toilet is working and is used,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",2,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,9,0,0,0,1,0,1,0,,,0,0
105054,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,6,C1,0,,,28aug2018,0,Spouse of Head,60,55,1 Yes,1 The toilet is working and is used,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",2,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,9,0,0,0,0,0,0,0,,,0,0
105055,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,1,E1,0,,,29aug2018,0,Spouse of Head,48,45,0 No,1 The toilet is working and is used,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,0 No,1 Yes,,,2 It was given to me without my asking,2 About a week,3 Once or twice a week,3 Once or twice a week,5 Did not eat,5 Did not eat,6,1,0,1,0,2,1,0,1.2727273,1.2727273,1,1
105056,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,3,D1,0,,,29aug2018,0,Spouse of Head,40,35,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,0,1,0,,,0,0
105057,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,2 Partial,Semi-pucca,4,C2,0,,,29aug2018,0,Spouse of Head,48,45,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,0 No,1 Yes,,,,,,,3 Ate once – Liked it,3 Ate once – Liked it,6,0,0,0,1,0,2,0,,,0,0
105058,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,2 Partial,Pucca,3,D1,0,,,28aug2018,0,Spouse of Head,30,29,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"2 Yes, saw it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,8,1,0,0,0,0,1,0,,,0,0
105059,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Semi-pucca,3,D1,0,,,28aug2018,0,Spouse of Head,37,33,1 Yes,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,1 Yes,,,,,,,3 Ate once – Liked it,3 Ate once – Liked it,6,0,0,0,0,0,2,0,,,0,0
105060,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Semi-pucca,3,D1,0,,,29aug2018,0,Spouse of Head,40,35,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"2 Yes, saw it only",0,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,8,0,0,0,0,0,1,0,,,0,0
105061,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,7,B2,0,,,28aug2018,0,Spouse of Head,45,40,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"1 Yes, have seen and heard",2,0 No,1 Yes,,,2 It was given to me without my asking,2 About a week,1 Nearly every day,6 No children in this household,5 Did not eat,,6,1,0,1,0,1,0,0,8.75,,3,
105062,Nirnam,Ag + Nutrition,10jan2018,1,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,0 Male,1,1 Illiterate,2 Partial,Semi-pucca,2,D2,0,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,0,0,0,,,0,0
105063,Nirnam,Ag + Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,28aug2018,0,Spouse of Head,28,24,0 No,3 There is no toilet facility. ,2 Has heard of VA supplements but child has not received,"3 Yes, has heard about vitamin A",1,1,"1 Yes, have seen and heard",2,1 Yes,1 Yes,35,1,,1 A few days only,5 Only ate it one or two times total,5 Only ate it one or two times total,5 Did not eat,5 Did not eat,6,1,1,0,0,0,0,1,1.5,1.5,1,1
105064,Nirnam,Ag + Nutrition,21dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,1,3 4th Standard,3 None,Pucca,2,D2,0,,,28aug2018,0,Head of Household,36,,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,1,0,0,1,0,0,0,,,0,0
105065,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,2 No Formal Education,1 Full,Pucca,1,E1,0,,,29aug2018,0,Spouse of Head,38,33,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,0 No,,,2 It was given to me without my asking,1 A few days only,5 Only ate it one or two times total,5 Only ate it one or two times total,5 Did not eat,5 Did not eat,6,1,0,1,0,0,1,0,1.5,1.5,1,1
105066,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,1,1 Illiterate,1 Full,Pucca,3,D1,0,,,29aug2018,0,Spouse of Head,60,,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",5,0 No,1 Yes,,,2 It was given to me without my asking,1 A few days only,5 Only ate it one or two times total,6 No children in this household,5 Did not eat,,6,0,0,1,0,1,0,0,1.5,,1,
105067,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,1 Yes,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,1 Full,Semi-pucca,7,B2,0,,,29aug2018,0,Spouse of Head,32,18,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,1,0,0,1,0,0,0,,,0,0
105068,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,0 Male,0,1 Illiterate,1 Full,Semi-pucca,4,C2,0,,,29aug2018,0,Head of Household,40,35,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,,,,,,,,,7,0,0,0,0,0,0,0,,,0,0
105069,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,0 Male,0,3 4th Standard,3 None,Hut,1,E1,0,,,01sep2018,1,Head of Household,37,24,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,0,0,0,,,0,0
105070,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,2,E1,0,,,29aug2018,0,Spouse of Head,59,55,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,1 Yes,,,2 It was given to me without my asking,1 A few days only,5 Only ate it one or two times total,6 No children in this household,5 Did not eat,,6,0,0,1,0,1,0,0,1.5,,1,
105071,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,0 Male,0,3 4th Standard,1 Full,Pucca,4,C1,0,,,01sep2018,1,Spouse of Head,42,38,1 Yes,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was","3 Yes, has heard about vitamin A",3,4,"1 Yes, have seen and heard",4,0 No,0 No,,,1 I asked for the OFSP ,3 More than a week but less than 2 weeks,5 Only ate it one or two times total,5 Only ate it one or two times total,5 Did not eat,5 Did not eat,6,2,0,1,0,0,0,0,1.5,1.5,1,1
105072,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,4,C2,0,,,28aug2018,0,Spouse of Head,35,30,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",6,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,2,0,0,0,0,2,0,,,0,0
105073,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,1 Yes,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,1 Full,Kutcha,1,E1,0,,,28aug2018,0,Spouse of Head,30,25,0 No,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,0 No,0 No,,,1 I asked for the OFSP ,3 More than a week but less than 2 weeks,5 Only ate it one or two times total,5 Only ate it one or two times total,5 Did not eat,5 Did not eat,8,2,0,1,0,0,2,0,1.5,1.5,1,1
105074,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,3 4th Standard,1 Full,Semi-pucca,6,B1,0,,,29aug2018,0,Head of Household,30,28,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,1,0,0,1,0,0,0,,,0,0
105075,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,1,1 Illiterate,1 Full,Pucca,6,C1,0,,,28aug2018,0,Spouse of Head,,55,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,7,2,0,0,1,1,0,0,,,0,0
105076,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,2 No Formal Education,1 Full,Pucca,5,B2,0,,,28aug2018,0,Head of Household,40,35,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"3 Yes, heard about it only",0,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,0,0,0,,,0,0
105077,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,1 Full,Pucca,5,C1,0,,,28aug2018,0,Spouse of Head,50,42,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,,,,,,,,,7,0,0,0,0,0,0,0,,,0,0
105078,Nirnam,Ag + Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,0,0,0,,,0,0
105079,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,2 No Formal Education,3 None,Pucca,1,E1,0,,,01sep2018,1,Spouse of Head,60,56,0 No,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",4,0 No,0 No,,,1 I asked for the OFSP ,3 More than a week but less than 2 weeks,6 No children in this household,6 No children in this household,5 Did not eat,,10,2,0,1,0,0,0,0,,,,
105080,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,1,1 Illiterate,1 Full,Pucca,7,C1,0,,,28aug2018,0,Spouse of Head,,60,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,8,0,0,0,1,0,0,0,,,0,0
105081,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,0 Male,0,3 4th Standard,1 Full,Pucca,4,C1,0,,,29aug2018,0,Spouse of Head,40,39,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,,,,,,,,,6,1,0,0,0,0,0,0,,,0,0
105082,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,"3 Yes, has heard about vitamin A",0,1,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,3 None,Pucca,2,D2,0,,,29aug2018,0,Head of Household,45,40,0 No,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",4,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,8,0,0,0,0,0,0,0,,,0,0
105083,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,2 No Formal Education,1 Full,Pucca,6,B1,0,,,29aug2018,0,Spouse of Head,53,49,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,0 No,,,2 It was given to me without my asking,1 A few days only,4 Less than once a week,6 No children in this household,5 Did not eat,,6,1,0,1,1,1,1,0,.40000001,,1,
105084,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,2,,,,1 Female,0,4 9th Standard,1 Full,Pucca,7,A3,0,,,28aug2018,0,Head of Household,60,55,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",2,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,1,0,0,1,0,1,0,,,0,0
105085,Nirnam,Ag + Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,29aug2018,0,Spouse of Head,60,57,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"1 Yes, have seen and heard",1,0 No,1 Yes,,,,,,,2 Ate a few times,2 Ate a few times,6,1,0,0,0,0,0,0,,,0,0
105086,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,3 None,Kutcha,3,D1,0,,,28aug2018,0,Head of Household,70,59,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"1 Yes, have seen and heard",2,0 No,1 Yes,,,,,,,1 Ate frequently,1 Ate frequently,8,0,0,0,0,0,1,0,,,0,0
105087,Nirnam,Ag + Nutrition,21dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,5,C1,0,,,29aug2018,0,Spouse of Head,42,38,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",2,0,"3 Yes, heard about it only",0,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,2,0,0,1,1,0,0,,,0,0
105088,Nirnam,Ag + Nutrition,21dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,0 Male,0,1 Illiterate,1 Full,Pucca,4,C2,0,,,28aug2018,0,Spouse of Head,50,45,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,2,1,0,,,0,0
105089,Nirnam,Ag + Nutrition,10jan2018,1,Head of Household,0 No,"3 Yes, has heard about vitamin A",2,3,"4 No, have neither seen nor heard",0,0 No,,1,,,,0 Male,0,4 9th Standard,1 Full,Kutcha,2,D1,0,,,28aug2018,0,Head of Household,60,55,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,,,,,,,,,8,0,0,0,0,0,0,0,,,0,0
105090,Nirnam,Ag + Nutrition,10jan2018,1,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,3 None,Pucca,3,D1,0,,,29aug2018,0,Head of Household,48,45,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,0 No,,,,,,,3 Ate once – Liked it,3 Ate once – Liked it,6,1,0,0,1,1,0,0,,,0,0
105091,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,0 Male,0,3 4th Standard,1 Full,Pucca,2,D2,0,,,28aug2018,0,Spouse of Head,41,38,1 Yes,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,1 Yes,,,,1 A few days only,5 Only ate it one or two times total,5 Only ate it one or two times total,1 Ate frequently,1 Ate frequently,6,2,1,0,1,0,1,0,1.5,1.5,1,1
105092,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,5,C1,0,,,01sep2018,1,Spouse of Head,42,38,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,2,0,0,0,0,1,0,,,0,0
105093,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,1 Full,Pucca,9,B1,0,,,28aug2018,0,Head of Household,80,,1 Yes,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,2,0,0,1,3,0,0,,,0,0
105094,Nirnam,Ag + Nutrition,20dec2017,0,Head of Household,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,1,1 Illiterate,1 Full,Pucca,6,C1,0,,,28aug2018,0,Head of Household,75,,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",0,1,"1 Yes, have seen and heard",2,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,1,0,0,1,2,1,0,,,0,0
105095,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,2,E1,0,,,28aug2018,0,Spouse of Head,45,40,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",1,3,"1 Yes, have seen and heard",2,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,2,2,0,,,0,0
105096,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,,,,1 Female,0,1 Illiterate,1 Full,Pucca,6,C1,0,,,28aug2018,0,Spouse of Head,45,40,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",2,2,"1 Yes, have seen and heard",0,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,1,1,0,,,0,0
105097,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,7,B2,0,,,28aug2018,0,Head of Household,63,,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",2,2,"1 Yes, have seen and heard",1,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,1,2,0,,,0,0
105098,Nirnam,Ag + Nutrition,20dec2017,0,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Pucca,3,D1,0,,,28aug2018,0,Spouse of Head,52,45,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",0,0 No,1 Yes,,,,,,,1 Ate frequently,1 Ate frequently,6,2,0,0,1,0,1,0,,,0,0
105099,Nirnam,Ag + Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,01sep2018,1,Spouse of Head,70,65,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"1 Yes, have seen and heard",5,0 No,0 No,,,,3 More than a week but less than 2 weeks,6 No children in this household,6 No children in this household,5 Did not eat,,9,2,1,0,0,0,0,0,,,,
105100,Nirnam,Ag + Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,1,0,0,,,0,0
105101,Nirnam,Ag + Nutrition,10jan2018,1,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,1 Illiterate,1 Full,Semi-pucca,4,C2,0,,,29aug2018,0,Spouse of Head,55,52,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,8,1,0,0,0,1,0,0,,,0,0
